City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Butaritari,KI,81.55,3.0707,172.7902,Isles Sunset Lodge
9,Hithadhoo,MV,85.17,-0.6,73.0833,Scoop Guest House
11,Rikitea,PF,76.98,-23.1203,-134.9692,People ThankYou
17,Kimbe,PG,82.56,-5.5502,150.1429,Kimbe Bay Hotel
18,Maningrida,AU,86.79,-12.0667,134.2667,Dhukurrdji Lodge
25,Esperance,AU,76.84,-33.8667,121.9,Hospitality Esperance
28,Grand Gaube,MU,81.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
33,Mogadishu,SO,87.67,2.0371,45.3438,Hotel Juba
36,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
38,Beloha,MG,86.67,-25.1667,45.05,
41,Dingle,PH,87.85,10.9995,122.6711,SEGAYA PROPERTY
42,Zhob,PK,83.43,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
46,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
47,Atuona,PF,79.2,-9.8,-139.0333,Villa Enata
53,Yulara,AU,82.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
56,Kuryk,KZ,75.09,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
60,Kroya,ID,85.3,-7.6331,109.2461,Devina kost & Homestay Kroya
66,Carnarvon,AU,78.87,-24.8667,113.6333,Hospitality Carnarvon
69,Kavieng,PG,83.55,-2.5744,150.7967,Nusa Island Retreat
70,Buchanan,LR,79.11,5.8808,-10.0467,Kamaneahn Hotel Inc
73,Saint-Philippe,RE,81.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Mahebourg,MU,81.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Bandarbeyla,SO,84.63,9.4942,50.8122,JABIR HOTEL
80,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Buraydah,SA,79.25,26.326,43.975,Mövenpick Qassim
101,Pedernales,DO,76.42,18.0384,-71.744,Hotel Costa Marina
103,Inhambane,MZ,78.78,-23.865,35.3833,Oceano
107,Hwange,ZW,77.47,-18.3693,26.5019,Hwange Colliery Guest House
116,Kralendijk,BQ,80.58,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
117,Bambous Virieux,MU,81.21,-20.3428,57.7575,Casa Tia Villa
125,Kirakira,SB,82.06,-10.4544,161.9205,SanBiz Lodge
127,Sinnamary,GF,77.59,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
133,Kupang,ID,84.92,-10.1667,123.5833,Hotel On The Rock by Prasanthi
142,Harper,LR,78.55,4.375,-7.7169,Screensaver
147,Omboue,GA,79.99,-1.5746,9.2618,Hotel Olako
148,Sorong,ID,82.9,-0.8833,131.25,Waigo Splash Hotel
151,Daru,PG,83.57,-9.0763,143.2092,Daru Lodge
160,Faanui,PF,82.18,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Bengkulu,ID,85.68,-3.8004,102.2655,Grage Hotel Bengkulu
168,Dhidhdhoo,MV,85.1,6.8833,73.1,Dhidhoo beach
179,Pochutla,MX,77.83,15.7432,-96.4661,Hotel Posada San Jose
183,Grand Baie,MU,81.45,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
187,Miandrivazo,MG,84.51,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
191,Labuhan,ID,85.66,-6.8844,112.2051,DoubleFAG
