City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-04-26 06:34:16,3.0707,172.7902,81.55,83,27,17.52
1,Saint George,US,2022-04-26 06:34:17,37.1041,-113.5841,63.25,22,0,3.44
2,Upernavik,GL,2022-04-26 06:34:17,72.7868,-56.1549,12.97,82,100,6.06
3,Ushuaia,AR,2022-04-26 06:34:18,-54.8,-68.3,38.86,70,75,6.91
4,Vaini,TO,2022-04-26 06:34:18,-21.2,-175.2,73.56,78,75,6.91
5,Jamestown,US,2022-04-26 06:34:15,42.097,-79.2353,53.24,75,100,8.05
6,Comodoro Rivadavia,AR,2022-04-26 06:30:01,-45.8667,-67.5,57.06,38,0,25.32
7,Mataura,NZ,2022-04-26 06:34:20,-46.1927,168.8643,53.47,90,99,10.11
8,Barrow,US,2022-04-26 06:30:02,71.2906,-156.7887,10.42,85,100,13.8
9,Hithadhoo,MV,2022-04-26 06:34:21,-0.6,73.0833,85.17,71,98,7.74
10,Ponta Do Sol,PT,2022-04-26 06:34:21,32.6667,-17.1,59.72,70,21,7.74
11,Rikitea,PF,2022-04-26 06:33:57,-23.1203,-134.9692,76.98,78,24,15.77
12,Shurugwi,ZW,2022-04-26 06:34:22,-19.6702,30.0059,64.13,78,45,9.98
13,Bredasdorp,ZA,2022-04-26 06:34:22,-34.5322,20.0403,59.2,69,86,1.01
14,Ulladulla,AU,2022-04-26 06:34:23,-35.35,150.4667,65.3,81,100,3.91
15,Hasaki,JP,2022-04-26 06:34:24,35.7333,140.8333,72.28,84,100,25.66
16,Lasa,IT,2022-04-26 06:34:24,46.6166,10.7002,49.08,93,93,2.53
17,Kimbe,PG,2022-04-26 06:34:25,-5.5502,150.1429,82.56,80,90,2.8
18,Maningrida,AU,2022-04-26 06:34:26,-12.0667,134.2667,86.79,61,100,8.52
19,Busselton,AU,2022-04-26 06:34:03,-33.65,115.3333,66.87,54,97,11.41
20,Cidreira,BR,2022-04-26 06:34:26,-30.1811,-50.2056,67.35,95,100,8.86
21,Huanren,CN,2022-04-26 06:34:27,41.2647,125.3667,63.5,22,85,14.12
22,Rio Gallegos,AR,2022-04-26 06:29:30,-51.6226,-69.2181,30.25,100,0,5.75
